time,temperature,signal
0,150,0.126591003
1,150.5,0.128153711
2,151,0.128771058
3,151.5,0.125929087
4,152,0.125407569
5,152.5,0.128733045
6,153,0.128661536
7,153.5,0.129420017
8,154,0.126433216
9,154.5,0.127884395
10,155,0.127260031
11,155.5,0.125880171
12,156,0.127784268
13,156.5,0.129292592
14,157,0.129096283
15,157.5,0.129406135
16,158,0.129899454
17,158.5,0.130945186
18,159,0.127352048
19,159.5,0.13025575
20,160,0.128898625
21,160.5,0.13033423
22,161,0.128592696
23,161.5,0.129223151
24,162,0.129700224
25,162.5,0.128321105
26,163,0.128127192
27,163.5,0.130560775
28,164,0.12916661
29,164.5,0.128976852
30,165,0.12875699
31,165.5,0.129262856
32,166,0.129376819
33,166.5,0.128453731
34,167,0.131447972
35,167.5,0.130408588
36,168,0.131126482
37,168.5,0.128853436
38,169,0.128013466
39,169.5,0.130843901
40,170,0.130764713
41,170.5,0.13028183
42,171,0.131182709
43,171.5,0.130417
44,172,0.131392324
45,172.5,0.133478523
46,173,0.127332858
47,173.5,0.129781291
48,174,0.130344746
49,174.5,0.130457704
50,175,0.13021799
51,175.5,0.129570242
52,176,0.129428958
53,176.5,0.128776775
54,177,0.130445523
55,177.5,0.132315718
56,178,0.130189971
57,178.5,0.132345538
58,179,0.132738888
59,179.5,0.130632844
60,180,0.131106929
61,180.5,0.132792306
62,181,0.129966268
63,181.5,0.130644126
64,182,0.131470356
65,182.5,0.128290452
66,183,0.13339023
67,183.5,0.130955811
68,184,0.132542069
69,184.5,0.133000043
70,185,0.132178822
71,185.5,0.132546021
72,186,0.131864305
73,186.5,0.132241177
74,187,0.131535632
75,187.5,0.131716526
76,188,0.13369828
77,188.5,0.133810816
78,189,0.130187979
79,189.5,0.133970164
80,190,0.130229497
81,190.5,0.133429167
82,191,0.13424666
83,191.5,0.134321661
84,192,0.134640317
85,192.5,0.135114838
86,193,0.133924674
87,193.5,0.13352633
88,194,0.134465402
89,194.5,0.135985578
90,195,0.133236671
91,195.5,0.135234304
92,196,0.135594724
93,196.5,0.137946221
94,197,0.135543458
95,197.5,0.133324484
96,198,0.132164819
97,198.5,0.132786232
98,199,0.133762295
99,199.5,0.135783238
100,200,0.133358981
101,200.5,0.134489811
102,201,0.135637835
103,201.5,0.131294287
104,202,0.134798068
105,202.5,0.137069175
106,203,0.136066377
107,203.5,0.137218247
108,204,0.137945844
109,204.5,0.134516141
110,205,0.136024004
111,205.5,0.13566049
112,206,0.13659009
113,206.5,0.134839261
114,207,0.139463578
115,207.5,0.138282658
116,208,0.138718797
117,208.5,0.137122475
118,209,0.138069481
119,209.5,0.136096797
120,210,0.139816146
121,210.5,0.136170772
122,211,0.135359134
123,211.5,0.13481261
124,212,0.137972537
125,212.5,0.136314258
126,213,0.136647872
127,213.5,0.134514403
128,214,0.137734589
129,214.5,0.137180577
130,215,0.137740615
131,215.5,0.137308638
132,216,0.138476599
133,216.5,0.136185378
134,217,0.139982836
135,217.5,0.137127964
136,218,0.139790332
137,218.5,0.137481719
138,219,0.138079907
139,219.5,0.137524629
140,220,0.139434682
141,220.5,0.139814659
142,221,0.140336957
143,221.5,0.136261468
144,222,0.138592471
145,222.5,0.136950997
146,223,0.139366134
147,223.5,0.141020051
148,224,0.138107783
149,224.5,0.138160791
150,225,0.141873623
151,225.5,0.139296695
152,226,0.140728263
153,226.5,0.144143734
154,227,0.142639059
155,227.5,0.140581429
156,228,0.143147807
157,228.5,0.144030968
158,229,0.141361288
159,229.5,0.141768304
160,230,0.140780933
161,230.5,0.143833443
162,231,0.142009285
163,231.5,0.141019369
164,232,0.140846656
165,232.5,0.143436303
166,233,0.142267105
167,233.5,0.142944584
168,234,0.141448256
169,234.5,0.143460119
170,235,0.141074869
171,235.5,0.142274344
172,236,0.143960693
173,236.5,0.142865095
174,237,0.143795058
175,237.5,0.14283742
176,238,0.141036255
177,238.5,0.14460996
178,239,0.142792437
179,239.5,0.143611965
180,240,0.144620064
181,240.5,0.144448576
182,241,0.142807478
183,241.5,0.143289526
184,242,0.14784053
185,242.5,0.145295256
186,243,0.144179367
187,243.5,0.149809055
188,244,0.144572656
189,244.5,0.147092623
190,245,0.146593364
191,245.5,0.148423881
192,246,0.145937587
193,246.5,0.150562468
194,247,0.148487937
195,247.5,0.146807548
196,248,0.148580837
197,248.5,0.148573399
198,249,0.147085479
199,249.5,0.1476807
200,250,0.147988761
201,250.5,0.149915588
202,251,0.148652671
203,251.5,0.148779448
204,252,0.149825758
205,252.5,0.147618961
206,253,0.147917536
207,253.5,0.148867905
208,254,0.148932337
209,254.5,0.151383636
210,255,0.151762648
211,255.5,0.151642585
212,256,0.149954642
213,256.5,0.149816903
214,257,0.150369966
215,257.5,0.152442477
216,258,0.150509532
217,258.5,0.152078024
218,259,0.153419261
219,259.5,0.151781248
220,260,0.150014267
221,260.5,0.154186741
222,261,0.153951582
223,261.5,0.153066546
224,262,0.153494499
225,262.5,0.155613601
226,263,0.154058968
227,263.5,0.154724779
228,264,0.15367015
229,264.5,0.158546071
230,265,0.155987226
231,265.5,0.15743038
232,266,0.155950451
233,266.5,0.157462965
234,267,0.156385949
235,267.5,0.159545457
236,268,0.159961903
237,268.5,0.155635074
238,269,0.158901152
239,269.5,0.159499892
240,270,0.159975437
241,270.5,0.159244875
242,271,0.16359011
243,271.5,0.160442336
244,272,0.165780518
245,272.5,0.166266187
246,273,0.164500494
247,273.5,0.165126901
248,274,0.168089487
249,274.5,0.168679421
250,275,0.166940183
251,275.5,0.169045394
252,276,0.169146464
253,276.5,0.174681687
254,277,0.172359504
255,277.5,0.173169287
256,278,0.177059531
257,278.5,0.179379458
258,279,0.180994721
259,279.5,0.182037094
260,280,0.181596246
261,280.5,0.184246641
262,281,0.187633079
263,281.5,0.191087691
264,282,0.194615135
265,282.5,0.19457394
266,283,0.198591031
267,283.5,0.202459403
268,284,0.206946421
269,284.5,0.208808979
270,285,0.209084936
271,285.5,0.215638621
272,286,0.220684825
273,286.5,0.224044215
274,287,0.228772835
275,287.5,0.235448901
276,288,0.237341974
277,288.5,0.244528045
278,289,0.250421891
279,289.5,0.256532923
280,290,0.261630233
281,290.5,0.271672813
282,291,0.275207868
283,291.5,0.285576387
284,292,0.292539273
285,292.5,0.301270739
286,293,0.307791654
287,293.5,0.320684665
288,294,0.329729953
289,294.5,0.342888778
290,295,0.351862696
291,295.5,0.362073293
292,296,0.373992617
293,296.5,0.388740968
294,297,0.400767021
295,297.5,0.41614188
296,298,0.426758924
297,298.5,0.444872701
298,299,0.460184838
299,299.5,0.475336942
300,300,0.493562355
301,300.5,0.509404379
302,301,0.529318433
303,301.5,0.547161536
304,302,0.569192543
305,302.5,0.588128235
306,303,0.609695683
307,303.5,0.632783768
308,304,0.651903645
309,304.5,0.679825433
310,305,0.703975538
311,305.5,0.726471397
312,306,0.752709811
313,306.5,0.776306947
314,307,0.803945472
315,307.5,0.830827122
316,308,0.861157857
317,308.5,0.890464508
318,309,0.921367465
319,309.5,0.951437187
320,310,0.979635611
321,310.5,1.01124208
322,311,1.04434105
323,311.5,1.07623015
324,312,1.10843082
325,312.5,1.1440667
326,313,1.17714846
327,313.5,1.21158087
328,314,1.24388118
329,314.5,1.27806011
330,315,1.31239125
331,315.5,1.34729871
332,316,1.38257293
333,316.5,1.42112252
334,317,1.45749088
335,317.5,1.49225525
336,318,1.52593319
337,318.5,1.56625277
338,319,1.60002499
339,319.5,1.63554999
340,320,1.67235277
341,320.5,1.70382775
342,321,1.73739974
343,321.5,1.77399442
344,322,1.80708732
345,322.5,1.83957194
346,323,1.87057199
