time,temperature,signal
0,100,0.1000
10,110,0.1020
20,120,0.1040
30,130,0.1060
40,140,0.1080
50,150,0.1100
60,160,0.1120
70,170,0.1141
80,180,0.1163
90,190,0.1189
100,200,0.1224
110,210,0.1280
120,220,0.1380
130,230,0.1560
140,240,0.1870
150,250,0.2370
160,260,0.3090
170,270,0.3990
180,280,0.4930
190,290,0.5660
200,300,0.5940
210,310,0.5700
220,320,0.5010
230,330,0.4110
240,340,0.3210
250,350,0.2490
260,360,0.1990
270,370,0.1680
280,380,0.1500
290,390,0.1400
300,400,0.1344
310,410,0.1309
320,420,0.1283
330,430,0.1261
340,440,0.1240
350,450,0.1220
360,460,0.1200
370,470,0.1180
380,480,0.1160
390,490,0.1140
400,500,0.1120

